Timestamp,CameraID,CameraName,ObjectID,EventType,LineCount,PosX,PosY,Counted,AnomalyDetected,AnomalyType
2025-07-21 17:30:47,101,Camera 1,77,Bale Detected. Total: 27,27,562,349,True,false,
2025-07-21 17:31:05,101,Camera 1,78,Bale Detected. Total: 28,28,934,900,True,false,
2025-07-21 17:31:23,101,Camera 1,81,Bale Detected. Total: 29,29,278,789,True,false,
2025-07-21 17:31:41,101,Camera 1,84,Bale Detected. Total: 30,30,263,818,True,false,
2025-07-21 17:31:58,101,Camera 1,87,Bale Detected. Total: 31,31,579,358,True,false,
2025-07-21 17:32:51,101,Camera 1,1,Bale Detected. Total: 1,1,1053,639,True,false,
2025-07-21 17:34:36,101,Camera 1,19,Bale Detected. Total: 2,2,412,528,True,false,
2025-07-21 17:35:10,101,Camera 1,1,Bale Detected. Total: 1,1,1185,906,True,false,
2025-07-21 17:35:29,101,Camera 1,6,Bale Detected. Total: 2,2,208,605,True,false,
2025-07-21 17:35:46,101,Camera 1,9,Bale Detected. Total: 3,3,229,900,True,false,
2025-07-21 17:36:03,101,Camera 1,10,Bale Detected. Total: 4,4,1047,923,True,false,
2025-07-21 17:36:22,101,Camera 1,15,Bale Detected. Total: 5,5,103,364,True,false,
2025-07-21 17:36:38,101,Camera 1,18,Bale Detected. Total: 6,6,796,814,True,false,
2025-07-21 17:36:56,101,Camera 1,20,Bale Detected. Total: 7,7,488,900,True,false,
2025-07-21 17:50:28,101,Camera 1,1,Bale Detected. Total: 1,1,1183,969,True,false,
2025-07-21 18:14:33,101,Camera 1,2,Bale Detected. Total: 1,1,NA,528,True,false,
2025-07-21 18:19:12,101,Camera 1,2,Bale Detected. Total: 1,1,NA,527,True,false,
2025-07-21 18:21:03,101,Camera 1,1,Bale Detected. Total: 1,1,NA,519,True,false,
2025-07-21 18:21:20,101,Camera 1,3,Bale Detected. Total: 2,2,NA,501,True,false,
2025-07-21 18:21:38,101,Camera 1,7,Bale Detected. Total: 3,3,NA,478,True,false,
2025-07-21 18:21:55,101,Camera 1,9,Bale Detected. Total: 4,4,NA,496,True,false,
2025-07-21 18:22:13,101,Camera 1,12,Bale Detected. Total: 5,5,NA,455,True,false,
2025-07-21 18:22:31,101,Camera 1,14,Bale Detected. Total: 6,6,NA,472,True,false,
2025-07-21 18:22:48,101,Camera 1,17,Bale Detected. Total: 7,7,NA,443,True,false,
2025-07-21 18:23:06,101,Camera 1,20,Bale Detected. Total: 8,8,NA,426,True,false,
2025-07-21 18:23:23,101,Camera 1,25,Bale Detected. Total: 9,9,NA,468,True,false,
2025-07-21 18:23:41,101,Camera 1,28,Bale Detected. Total: 10,10,NA,508,True,false,
2025-07-21 18:26:18,101,Camera 1,1,Bale Detected. Total: 1,1,NA,514,True,false,
2025-07-21 18:26:36,101,Camera 1,3,Bale Detected. Total: 2,2,NA,462,True,false,
2025-07-22 11:39:50,101,Camera 1,1,Bale Detected. Total: 1,1,272,241,True,false,
2025-07-22 11:51:51,101,Camera 1,1,Bale Detected. Total: 1,1,431,281,True,false,
